feat0,feat1,feat2,feat3,depth,distance,MMAP
color,gabor,hog,res,100,d1,0.28382107392410383
color,gabor,hog,res,50,d1,0.34279826750618936
color,gabor,hog,res,30,d1,0.38286413254351975
color,gabor,hog,res,10,d1,0.4478355748381144
color,gabor,hog,res,5,d1,0.4692039595833971
color,gabor,hog,res,3,d1,0.4695171416274357
color,gabor,hog,res,1,d1,0.4181176338281602
color,gabor,vgg,res,None,d1,0.2588277231218757
color,gabor,vgg,res,300,d1,0.2787316996761568
color,gabor,vgg,res,200,d1,0.31796985036723463
color,gabor,vgg,res,100,d1,0.3932309490989034
color,gabor,vgg,res,50,d1,0.4559880575481086
color,gabor,vgg,res,30,d1,0.499958964559959
color,gabor,vgg,res,10,d1,0.5890678201558519
color,gabor,vgg,res,5,d1,0.6192674339816625
color,gabor,vgg,res,3,d1,0.6267406575479331
color,gabor,vgg,res,1,d1,0.5836098566036647
color,hog,vgg,res,None,d1,0.23928400985860168
color,hog,vgg,res,300,d1,0.25837437747711073
color,hog,vgg,res,200,d1,0.2931401081291589
color,hog,vgg,res,100,d1,0.3649796680779791
color,hog,vgg,res,50,d1,0.42896926319489737
color,hog,vgg,res,30,d1,0.4690630058781097
color,hog,vgg,res,10,d1,0.5602613494154111
color,hog,vgg,res,5,d1,0.590474412658778
color,hog,vgg,res,3,d1,0.5921080935175362
color,hog,vgg,res,1,d1,0.5366272609399545
daisy,edge,gabor,hog,None,d1,0.07863405779976457
daisy,edge,gabor,hog,300,d1,0.10150930275606797
daisy,edge,gabor,hog,200,d1,0.1263830617101421
daisy,edge,gabor,hog,100,d1,0.17775763616138412
daisy,edge,gabor,hog,50,d1,0.22681666079878557
daisy,edge,gabor,hog,30,d1,0.25713313499363105
daisy,edge,gabor,hog,10,d1,0.297151455026455
daisy,edge,gabor,hog,5,d1,0.2905083333333333
daisy,edge,gabor,hog,3,d1,0.2848333333333333
daisy,edge,gabor,hog,1,d1,0.23600000000000002
daisy,edge,gabor,vgg,None,d1,0.07819814070683259
daisy,edge,gabor,vgg,300,d1,0.10044639933644181
daisy,edge,gabor,vgg,200,d1,0.123863082871882
daisy,edge,gabor,vgg,100,d1,0.17316881661154127
daisy,edge,gabor,vgg,50,d1,0.22073296278542998
daisy,edge,gabor,vgg,30,d1,0.24677151458447566
daisy,edge,gabor,vgg,10,d1,0.2843279497354497
daisy,edge,gabor,vgg,5,d1,0.28265555555555555
daisy,edge,gabor,vgg,3,d1,0.2723333333333333
daisy,edge,gabor,vgg,1,d1,0.23199999999999998
daisy,edge,gabor,res,None,d1,0.0844540662049986
daisy,edge,gabor,res,300,d1,0.10450341374843068
daisy,edge,gabor,res,200,d1,0.13358204931735596
daisy,edge,gabor,res,100,d1,0.18451768591183984
daisy,edge,gabor,res,50,d1,0.23005600482462307
daisy,edge,gabor,res,30,d1,0.2583653223531224
daisy,edge,gabor,res,10,d1,0.29954250983675007
daisy,edge,gabor,res,5,d1,0.2977683126380366
daisy,edge,gabor,res,3,d1,0.2901944330179624
daisy,edge,gabor,res,1,d1,0.24866479152082868
daisy,edge,hog,vgg,None,d1,0.07926361038531131
daisy,edge,hog,vgg,300,d1,0.10246107685334419
daisy,edge,hog,vgg,200,d1,0.1258090310424531
daisy,edge,hog,vgg,100,d1,0.1755497580977096
daisy,edge,hog,vgg,50,d1,0.22234899939067618
daisy,edge,hog,vgg,30,d1,0.25696882244874986
daisy,edge,hog,vgg,10,d1,0.2986288095238095
daisy,edge,hog,vgg,5,d1,0.293125
daisy,edge,hog,vgg,3,d1,0.28266666666666657
daisy,edge,hog,vgg,1,d1,0.242
daisy,edge,hog,res,None,d1,0.08453676920013177
daisy,edge,hog,res,300,d1,0.10472749363947718
daisy,edge,hog,res,200,d1,0.13325394441084454
daisy,edge,hog,res,100,d1,0.1831109772258489
daisy,edge,hog,res,50,d1,0.2338253652404904
daisy,edge,hog,res,30,d1,0.2584721082223776
daisy,edge,hog,res,10,d1,0.3022037388407325
daisy,edge,hog,res,5,d1,0.3025510837784316
daisy,edge,hog,res,3,d1,0.2951366074013133
daisy,edge,hog,res,1,d1,0.2606286405373093
daisy,edge,vgg,res,None,d1,0.08433512870564279
daisy,edge,vgg,res,300,d1,0.10427411982256352
daisy,edge,vgg,res,200,d1,0.13372033973475136
daisy,edge,vgg,res,100,d1,0.1829137180873839
daisy,edge,vgg,res,50,d1,0.22629063426808968
daisy,edge,vgg,res,30,d1,0.26033648863453157
daisy,edge,vgg,res,10,d1,0.3061400457731314
daisy,edge,vgg,res,5,d1,0.29957924664201746
daisy,edge,vgg,res,3,d1,0.2969892268321061
daisy,edge,vgg,res,1,d1,0.2542535115383412
daisy,gabor,hog,vgg,None,d1,0.4342424812289951
daisy,gabor,hog,vgg,300,d1,0.4928413558250139
daisy,gabor,hog,vgg,200,d1,0.5291878645179303
daisy,gabor,hog,vgg,100,d1,0.5890078588976955
daisy,gabor,hog,vgg,50,d1,0.6559608444692709
daisy,gabor,hog,vgg,30,d1,0.7077044835494064
daisy,gabor,hog,vgg,10,d1,0.8185042161123708
daisy,gabor,hog,vgg,5,d1,0.8654055555555555
daisy,gabor,hog,vgg,3,d1,0.878
daisy,gabor,hog,vgg,1,d1,0.868
daisy,gabor,hog,res,None,d1,0.2847939486729607
daisy,gabor,hog,res,300,d1,0.3278437418828953
daisy,gabor,hog,res,200,d1,0.3680485433143268
daisy,gabor,hog,res,100,d1,0.4322317089645408
daisy,gabor,hog,res,50,d1,0.5031139339578705
daisy,gabor,hog,res,30,d1,0.559041135249901
daisy,gabor,hog,res,10,d1,0.6599356663256635
daisy,gabor,hog,res,5,d1,0.6971157652642429
daisy,gabor,hog,res,3,d1,0.7040595191415623
daisy,gabor,hog,res,1,d1,0.6732529522421161
daisy,gabor,vgg,res,None,d1,0.583325657226112
daisy,gabor,vgg,res,300,d1,0.6007122814801997
daisy,gabor,vgg,res,200,d1,0.624349981297436
daisy,gabor,vgg,res,100,d1,0.6708612306763971
daisy,gabor,vgg,res,50,d1,0.7329653605052755
daisy,gabor,vgg,res,30,d1,0.7816450929794843
daisy,gabor,vgg,res,10,d1,0.8683724102039537
daisy,gabor,vgg,res,5,d1,0.9043631244522305
daisy,gabor,vgg,res,3,d1,0.9150530606734167
daisy,gabor,vgg,res,1,d1,0.8937136451439857
daisy,hog,vgg,res,None,d1,0.4912403754271159
daisy,hog,vgg,res,300,d1,0.5402551714609836
daisy,hog,vgg,res,200,d1,0.5787924560840639
daisy,hog,vgg,res,100,d1,0.6287895830860416
daisy,hog,vgg,res,50,d1,0.6844038550949372
daisy,hog,vgg,res,30,d1,0.7312419548238276
daisy,hog,vgg,res,10,d1,0.8230944785522175
daisy,hog,vgg,res,5,d1,0.8544975959734279
daisy,hog,vgg,res,3,d1,0.8639763196183474
daisy,hog,vgg,res,1,d1,0.832931168075131
edge,gabor,hog,vgg,None,d1,0.07794326147866816
edge,gabor,hog,vgg,300,d1,0.1007163079967665
edge,gabor,hog,vgg,200,d1,0.12418434526738553
edge,gabor,hog,vgg,100,d1,0.16871851174588404
edge,gabor,hog,vgg,50,d1,0.21412504667089954
edge,gabor,hog,vgg,30,d1,0.2463778163757911
edge,gabor,hog,vgg,10,d1,0.28325896825396824
edge,gabor,hog,vgg,5,d1,0.28401944444444444
edge,gabor,hog,vgg,3,d1,0.2758333333333333
edge,gabor,hog,vgg,1,d1,0.228
edge,gabor,hog,res,None,d1,0.08365795417101211
edge,gabor,hog,res,300,d1,0.10339776781879532
edge,gabor,hog,res,200,d1,0.13303868858546194
edge,gabor,hog,res,100,d1,0.1798975889907526
edge,gabor,hog,res,50,d1,0.2256670606113001
edge,gabor,hog,res,30,d1,0.2577685508098526
edge,gabor,hog,res,10,d1,0.2951871515280242
edge,gabor,hog,res,5,d1,0.29251181377961566
edge,gabor,hog,res,3,d1,0.2844416207001346
edge,gabor,hog,res,1,d1,0.24755368040971756
edge,gabor,vgg,res,None,d1,0.08396375553550937
edge,gabor,vgg,res,300,d1,0.10291853888451018
edge,gabor,vgg,res,200,d1,0.13318910309397394
edge,gabor,vgg,res,100,d1,0.17831132097855262
edge,gabor,vgg,res,50,d1,0.23415012421190526
edge,gabor,vgg,res,30,d1,0.2668469173324001
edge,gabor,vgg,res,10,d1,0.30552288495149693
edge,gabor,vgg,res,5,d1,0.3056908939157391
edge,gabor,vgg,res,3,d1,0.2935634025417307
edge,gabor,vgg,res,1,d1,0.2537896625218607
edge,hog,vgg,res,None,d1,0.08392146143438328
edge,hog,vgg,res,300,d1,0.10317063636584667
edge,hog,vgg,res,200,d1,0.13182893121457434
edge,hog,vgg,res,100,d1,0.17752748091170412
edge,hog,vgg,res,50,d1,0.2296073728216932
edge,hog,vgg,res,30,d1,0.25752366637887614
edge,hog,vgg,res,10,d1,0.3041072702757816
edge,hog,vgg,res,5,d1,0.3044848182213765
edge,hog,vgg,res,3,d1,0.29509729048041744
edge,hog,vgg,res,1,d1,0.2547425745908718
gabor,hog,vgg,res,None,d1,0.47896219495678843
gabor,hog,vgg,res,300,d1,0.5186902596613203
gabor,hog,vgg,res,200,d1,0.5586065704319776
gabor,hog,vgg,res,100,d1,0.6160362037594501
gabor,hog,vgg,res,50,d1,0.6750491165206834
gabor,hog,vgg,res,30,d1,0.7235855079138228
gabor,hog,vgg,res,10,d1,0.8221709543890161
gabor,hog,vgg,res,5,d1,0.8572761406285205
gabor,hog,vgg,res,3,d1,0.8715060486182776
gabor,hog,vgg,res,1,d1,0.8617232385777277
