feat0,feat1,feat2,depth,distance,MMAP
color,vgg,res,30,d1,0.48904550801777125
color,vgg,res,10,d1,0.5845919971686955
color,vgg,res,5,d1,0.6194600065010669
color,vgg,res,3,d1,0.6198855163727455
color,vgg,res,1,d1,0.5787199669955088
daisy,edge,gabor,None,d1,0.0758687592826926
daisy,edge,gabor,300,d1,0.097689178710691
daisy,edge,gabor,200,d1,0.11882980361411814
daisy,edge,gabor,100,d1,0.16829842324241986
daisy,edge,gabor,50,d1,0.2131433642478128
daisy,edge,gabor,30,d1,0.23821593493594753
daisy,edge,gabor,10,d1,0.278630268329554
daisy,edge,gabor,5,d1,0.27178888888888886
daisy,edge,gabor,3,d1,0.2588333333333333
daisy,edge,gabor,1,d1,0.22
daisy,edge,hog,None,d1,0.07596751947222014
daisy,edge,hog,300,d1,0.09739814288049782
daisy,edge,hog,200,d1,0.11937305536660356
daisy,edge,hog,100,d1,0.1610912644192707
daisy,edge,hog,50,d1,0.2107234218721038
daisy,edge,hog,30,d1,0.2406235573287876
daisy,edge,hog,10,d1,0.27648251322751327
daisy,edge,hog,5,d1,0.27798055555555556
daisy,edge,hog,3,d1,0.27049999999999996
daisy,edge,hog,1,d1,0.22200000000000003
daisy,edge,vgg,None,d1,0.07818468644510522
daisy,edge,vgg,300,d1,0.10005874544853154
daisy,edge,vgg,200,d1,0.12313247800162198
daisy,edge,vgg,100,d1,0.17462241145990362
daisy,edge,vgg,50,d1,0.21882505597444918
daisy,edge,vgg,30,d1,0.24769179102298472
daisy,edge,vgg,10,d1,0.2865372354497355
daisy,edge,vgg,5,d1,0.29054722222222223
daisy,edge,vgg,3,d1,0.28583333333333333
daisy,edge,vgg,1,d1,0.24200000000000002
daisy,edge,res,None,d1,0.0828450979932236
daisy,edge,res,300,d1,0.10088317036329907
daisy,edge,res,200,d1,0.12947731511123606
daisy,edge,res,100,d1,0.1765553724055051
daisy,edge,res,50,d1,0.22412034052509097
daisy,edge,res,30,d1,0.2560129395921597
daisy,edge,res,10,d1,0.2974842308529486
daisy,edge,res,5,d1,0.2979302694190723
daisy,edge,res,3,d1,0.28819763624175393
daisy,edge,res,1,d1,0.2523469777556465
daisy,gabor,hog,None,d1,0.1500125678974956
daisy,gabor,hog,300,d1,0.18279296477299092
daisy,gabor,hog,200,d1,0.20988416832512197
daisy,gabor,hog,100,d1,0.2639513720894833
daisy,gabor,hog,50,d1,0.32508360829579586
daisy,gabor,hog,30,d1,0.3779312119123512
daisy,gabor,hog,10,d1,0.46301408320735704
daisy,gabor,hog,5,d1,0.4848722222222222
daisy,gabor,hog,3,d1,0.4818333333333333
daisy,gabor,hog,1,d1,0.4159999999999999
daisy,gabor,vgg,None,d1,0.5380854691365916
daisy,gabor,vgg,300,d1,0.5661023098854086
daisy,gabor,vgg,200,d1,0.5922571332986213
daisy,gabor,vgg,100,d1,0.642238191338586
daisy,gabor,vgg,50,d1,0.7082536823456504
daisy,gabor,vgg,30,d1,0.7621141479868632
daisy,gabor,vgg,10,d1,0.871565838372386
daisy,gabor,vgg,5,d1,0.9089833333333334
daisy,gabor,vgg,3,d1,0.9198333333333334
daisy,gabor,vgg,1,d1,0.898
daisy,gabor,res,None,d1,0.37048878702934845
daisy,gabor,res,300,d1,0.4020281315932824
daisy,gabor,res,200,d1,0.44781902246940086
daisy,gabor,res,100,d1,0.5231155535361214
daisy,gabor,res,50,d1,0.6086318847036154
daisy,gabor,res,30,d1,0.6705545503957271
daisy,gabor,res,10,d1,0.7790163082782827
daisy,gabor,res,5,d1,0.8256424715871503
daisy,gabor,res,3,d1,0.8411666131426192
daisy,gabor,res,1,d1,0.8173395613674252
daisy,hog,vgg,None,d1,0.4375181340151648
daisy,hog,vgg,300,d1,0.5026456687837054
daisy,hog,vgg,200,d1,0.5332963976178607
daisy,hog,vgg,100,d1,0.5872446432820619
daisy,hog,vgg,50,d1,0.6519618206509256
daisy,hog,vgg,30,d1,0.7049840763589394
daisy,hog,vgg,10,d1,0.8153702358906524
daisy,hog,vgg,5,d1,0.8517666666666667
daisy,hog,vgg,3,d1,0.866
daisy,hog,vgg,1,d1,0.8440000000000001
daisy,hog,res,None,d1,0.31511800234842147
daisy,hog,res,300,d1,0.373941191257263
daisy,hog,res,200,d1,0.41395512985378724
daisy,hog,res,100,d1,0.46271082965065496
daisy,hog,res,50,d1,0.5194458524526137
daisy,hog,res,30,d1,0.5746956449387629
daisy,hog,res,10,d1,0.6796008776369221
daisy,hog,res,5,d1,0.7156301918660019
daisy,hog,res,3,d1,0.7240140349273477
daisy,hog,res,1,d1,0.6941146028034574
daisy,vgg,res,None,d1,0.6075620500797332
daisy,vgg,res,300,d1,0.6275828403566126
daisy,vgg,res,200,d1,0.6473924725513877
daisy,vgg,res,100,d1,0.6885815684115952
daisy,vgg,res,50,d1,0.7486293782660092
daisy,vgg,res,30,d1,0.7903860103461672
daisy,vgg,res,10,d1,0.8747280175752356
daisy,vgg,res,5,d1,0.9090119282449004
daisy,vgg,res,3,d1,0.9162581841676269
daisy,vgg,res,1,d1,0.903841276542515
edge,gabor,hog,None,d1,0.07700654296380795
edge,gabor,hog,300,d1,0.09985238553991267
edge,gabor,hog,200,d1,0.12206273303219277
edge,gabor,hog,100,d1,0.16687222983625855
edge,gabor,hog,50,d1,0.21065698641121586
edge,gabor,hog,30,d1,0.24353650506961433
edge,gabor,hog,10,d1,0.2775133068783069
edge,gabor,hog,5,d1,0.2815944444444445
edge,gabor,hog,3,d1,0.2723333333333333
edge,gabor,hog,1,d1,0.24
edge,gabor,vgg,None,d1,0.07790878549944816
edge,gabor,vgg,300,d1,0.10102365525888798
edge,gabor,vgg,200,d1,0.12395329706506343
edge,gabor,vgg,100,d1,0.17489444185248082
edge,gabor,vgg,50,d1,0.22056034909167413
edge,gabor,vgg,30,d1,0.2444366687625973
edge,gabor,vgg,10,d1,0.27814566578483246
edge,gabor,vgg,5,d1,0.27285000000000004
edge,gabor,vgg,3,d1,0.2693333333333333
edge,gabor,vgg,1,d1,0.22399999999999998
edge,gabor,res,None,d1,0.08369611840181544
edge,gabor,res,300,d1,0.10365334287778669
edge,gabor,res,200,d1,0.13187448722249326
edge,gabor,res,100,d1,0.17729530554415984
edge,gabor,res,50,d1,0.22647843421345487
edge,gabor,res,30,d1,0.25035728784773403
edge,gabor,res,10,d1,0.2890434079118193
edge,gabor,res,5,d1,0.29017809934971955
edge,gabor,res,3,d1,0.2820474128841002
edge,gabor,res,1,d1,0.25340521432471896
edge,hog,vgg,None,d1,0.07671696354124334
edge,hog,vgg,300,d1,0.09836934510840364
edge,hog,vgg,200,d1,0.12125867816581139
edge,hog,vgg,100,d1,0.17216712435984577
edge,hog,vgg,50,d1,0.2170387384460229
edge,hog,vgg,30,d1,0.2454445521160734
edge,hog,vgg,10,d1,0.2845108664021164
edge,hog,vgg,5,d1,0.28121666666666667
edge,hog,vgg,3,d1,0.2773333333333333
edge,hog,vgg,1,d1,0.24000000000000005
edge,hog,res,None,d1,0.08484202422618468
edge,hog,res,300,d1,0.1042808459463733
edge,hog,res,200,d1,0.13402599444352944
edge,hog,res,100,d1,0.18319925596308667
edge,hog,res,50,d1,0.23367884936339298
edge,hog,res,30,d1,0.26291224315782874
edge,hog,res,10,d1,0.2991549328925193
edge,hog,res,5,d1,0.2975223719091366
edge,hog,res,3,d1,0.29135258795785113
edge,hog,res,1,d1,0.2506033880120567
edge,vgg,res,None,d1,0.08509270531131728
edge,vgg,res,300,d1,0.10484382943575987
edge,vgg,res,200,d1,0.13391906985243793
edge,vgg,res,100,d1,0.18360076654677635
edge,vgg,res,50,d1,0.22604650172385138
edge,vgg,res,30,d1,0.2627143292166263
edge,vgg,res,10,d1,0.3022635658676835
edge,vgg,res,5,d1,0.3048460261969808
edge,vgg,res,3,d1,0.29700704192035465
edge,vgg,res,1,d1,0.2596900440460812
gabor,hog,vgg,None,d1,0.4138078190494583
gabor,hog,vgg,300,d1,0.4728296791836691
gabor,hog,vgg,200,d1,0.5105172859677459
gabor,hog,vgg,100,d1,0.5683979632769055
gabor,hog,vgg,50,d1,0.6353207796230328
gabor,hog,vgg,30,d1,0.6898112795061354
gabor,hog,vgg,10,d1,0.8044612380322501
gabor,hog,vgg,5,d1,0.8467722222222221
gabor,hog,vgg,3,d1,0.8581666666666666
gabor,hog,vgg,1,d1,0.8400000000000002
gabor,hog,res,None,d1,0.3048302168669549
gabor,hog,res,300,d1,0.353733639345433
gabor,hog,res,200,d1,0.3961748557192379
gabor,hog,res,100,d1,0.4588916191775955
gabor,hog,res,50,d1,0.5285767637576394
gabor,hog,res,30,d1,0.5750588523119877
gabor,hog,res,10,d1,0.6708437994672357
gabor,hog,res,5,d1,0.6988892099179058
gabor,hog,res,3,d1,0.7052286636508772
gabor,hog,res,1,d1,0.6768559096562192
gabor,vgg,res,None,d1,0.6202452605560266
gabor,vgg,res,300,d1,0.6343647391689573
gabor,vgg,res,200,d1,0.6573131911907693
gabor,vgg,res,100,d1,0.7060849425070758
gabor,vgg,res,50,d1,0.7614564437075135
gabor,vgg,res,30,d1,0.8047065087868961
gabor,vgg,res,10,d1,0.8918373949595629
gabor,vgg,res,5,d1,0.919439647993189
gabor,vgg,res,3,d1,0.9235825671576446
gabor,vgg,res,1,d1,0.9220518028583043
hog,vgg,res,None,d1,0.49599010695311174
hog,vgg,res,300,d1,0.542815403147532
hog,vgg,res,200,d1,0.5818110485213981
hog,vgg,res,100,d1,0.6320674625129421
hog,vgg,res,50,d1,0.6901974898715756
hog,vgg,res,30,d1,0.7376442255459762
hog,vgg,res,10,d1,0.8233830814360346
hog,vgg,res,5,d1,0.8582665857090394
hog,vgg,res,3,d1,0.8701698421261115
hog,vgg,res,1,d1,0.8513794133283297
